,Hotel,Rating,Rank
28,Brunelleschi Hotel,0.511929932253,127
53,Hotel Cavour,0.513973490831,128
37,Enterprise Hotel Design Boutique,0.51544550181,129
155,UNA Hotel Cusani,0.516886582125,130
59,Hotel Dei Cavalieri,0.517570410338,131
33,Ch teau Monfort Relais Ch teaux,0.518447497113,132
101,LaGare Hotel Milano Centrale MGallery by Sofitel,0.518690225723,133
119,NH Milano Touring,0.518863721754,134
125,Palazzo Parigi Hotel Grand Spa Milano,0.519470746355,135
23,Best Western Madison Hotel,0.520797385188,136
154,UNA Hotel Century,0.525223829461,137
104,Maison Borella,0.525389090842,138
133,Rosa Grand Milano Starhotels Collezione,0.526705940755,139
79,Hotel Principe Di Savoia,0.528187921144,140
84,Hotel Santa Marta Suites,0.529996151913,141
75,Hotel Milano Scala,0.530771400998,142
68,Hotel Manzoni,0.530981515663,143
149,The Yard Milano,0.535518563407,144
10,Art Hotel Navigli,0.539333086743,145
25,Best Western Plus Hotel Galles,0.549547584851,146
86,Hotel Spadari Al Duomo,0.553262178446,147
138,Starhotels Anderson,0.559419339685,148
161,Worldhotel Cristoforo Colombo,0.562460284956,149
158,UNA Maison Milano,0.56612172919,150
115,NH Collection Milano President,0.56978646718,151
38,Excelsior Hotel Gallia Luxury Collection Hotel,0.571451127661,152
140,Starhotels Echo,0.572905218505,153
74,Hotel Michelangelo,0.577811622034,154
26,Bianca Maria Palace Hotel,0.590602048195,155
132,Room Mate Giulia,0.607299130939,156
58,Hotel degli Arcimboldi,0.627506105497,157
57,Hotel Da Vinci,0.653479313921,158
147,The Square Milano Duomo,0.676369531965,159
41,Glam Milano,0.749180424245,160
48,Hotel Berna,0.813392289128,161
