,Hotel,Rating,Rank
40,Four Seasons Hotel Milano,0.221091930681,65
102,Leonardo Hotel Milan City Center,0.221291567373,66
153,TownHouse Galleria,0.222464191267,67
39,Four Points Sheraton Milan Center,0.223473526319,68
116,NH Milano Grand Hotel Verdi,0.22647608286,69
34,Colombia,0.230185283368,70
70,Hotel Mediolanum,0.231802146699,71
14,Barcel Milan,0.232266197395,72
72,Hotel Mercure Milano Centro,0.23247789676,73
121,Novotel Milano Linate Aeroporto,0.233009095524,74
91,Hotel VIU Milan,0.233175539737,75
7,Antares Hotel Rubens,0.235659075532,76
128,Petit Palais Hotel De Charme,0.235709412345,77
148,The Westin Palace,0.236666646062,78
66,Hotel Magna Pars Small Luxury Hotels of the World,0.239645217528,79
2,ADI Doria Grand Hotel,0.240498102042,80
29,Bulgari Hotel Milano,0.242202107604,81
42,Grand Hotel et de Milan,0.244322664612,82
35,Crowne Plaza Milan City,0.2444456028,83
95,IH Hotels Milano Ambasciatori,0.245924140867,84
45,Hilton Milan,0.24619615099,85
105,Mandarin Oriental Milan,0.246772220978,86
117,NH Milano Machiavelli,0.249083698749,87
67,Hotel Manin,0.249192769326,88
83,Hotel Sanpi Milano,0.249898827201,89
19,Best Western Hotel City,0.250166775309,90
129,Qualys Hotel Nasco,0.252749554891,91
94,Idea Hotel Milano San Siro,0.253003273389,92
13,Baglioni Hotel Carlton The Leading Hotels of the World,0.253296043096,93
123,Nu Hotel,0.253960544056,94
127,Park Hyatt Milano,0.254540497534,95
111,Milan Suite Hotel,0.255160050277,96
82,Hotel Romana Residence,0.255492338595,97
130,Radisson Blu Hotel Milan,0.255615969496,98
47,Hotel Auriga,0.256530758165,99
43,Grand Visconti Palace,0.257430110497,100
143,STRAF a Member of Design Hotels ,0.258271843763,101
54,Hotel Clerici,0.25880273347,102
32,Carlyle Brera Hotel,0.2608888013,103
69,Hotel Marconi,0.261601138788,104
8,Antica Locanda Dei Mercanti,0.263376343067,105
136,Sina De La Ville,0.263426957417,106
5,Andreola Central Hotel,0.265983316598,107
124,NYX Milan,0.267419040192,108
22,Best Western Hotel St George,0.269397793987,109
106,ME Milan Il Duca,0.274420806743,110
9,Armani Hotel Milano,0.274611840226,111
1,Acca Palace,0.276178351164,112
120,Nhow Milan,0.276997252375,113
142,Starhotels Tourist,0.277543964855,114
125,Palazzo Parigi Hotel Grand Spa Milano,0.279202692744,115
31,Camperio House Suites Apartments,0.28025941611,116
134,Senato Hotel Milano,0.281270013037,117
96,IH Hotels Milano Gioia,0.283430588325,118
16,Best Western Atlantic Hotel,0.284670213384,119
104,Maison Borella,0.291192251474,120
68,Hotel Manzoni,0.297974914342,121
33,Ch teau Monfort Relais Ch teaux,0.300233854384,122
24,Best Western Plus Hotel Felice Casati,0.300586860943,123
155,UNA Hotel Cusani,0.301583521513,124
149,The Yard Milano,0.304422344163,125
84,Hotel Santa Marta Suites,0.305211194922,126
37,Enterprise Hotel Design Boutique,0.305263465403,127
79,Hotel Principe Di Savoia,0.306563596279,128
131,Ramada Plaza Milano,0.307262619765,129
75,Hotel Milano Scala,0.312957838286,130
53,Hotel Cavour,0.315733842901,131
86,Hotel Spadari Al Duomo,0.318335193049,132
76,Hotel Mozart,0.320569371881,133
23,Best Western Madison Hotel,0.32436809933,134
139,Starhotels Business Palace,0.324736517041,135
159,Uptown Palace,0.326674356399,136
154,UNA Hotel Century,0.329414667629,137
44,Hilton Garden Inn Milan North,0.337848303659,138
10,Art Hotel Navigli,0.343833986923,139
28,Brunelleschi Hotel,0.34387632153,140
160,Windsor Hotel Milano,0.343887592443,141
158,UNA Maison Milano,0.346437792403,142
38,Excelsior Hotel Gallia Luxury Collection Hotel,0.356128063048,143
119,NH Milano Touring,0.371034155841,144
101,LaGare Hotel Milano Centrale MGallery by Sofitel,0.371760839846,145
141,Starhotels Ritz,0.382580535873,146
59,Hotel Dei Cavalieri,0.3891047172,147
161,Worldhotel Cristoforo Colombo,0.391646122124,148
133,Rosa Grand Milano Starhotels Collezione,0.394689537474,149
140,Starhotels Echo,0.399850607583,150
138,Starhotels Anderson,0.401367729363,151
74,Hotel Michelangelo,0.401856430996,152
25,Best Western Plus Hotel Galles,0.40877943122,153
26,Bianca Maria Palace Hotel,0.416127153216,154
115,NH Collection Milano President,0.416655841055,155
132,Room Mate Giulia,0.417021075328,156
147,The Square Milano Duomo,0.524709199898,157
58,Hotel degli Arcimboldi,0.634167437764,158
48,Hotel Berna,0.648579326535,159
41,Glam Milano,0.755541696499,160
57,Hotel Da Vinci,0.903479313921,161
